2026-05-05T12:16:13+00:00 | 17/7598 | ministerium_form | scraped="Minister Kinder, Familie,FlüchtlingeundIntegrationunddemMinisterfürBundesundEuropaangelegenheiten sowie Internationales"
2026-05-05T12:16:13+00:00 | 17/7600 | ministerium_form | scraped="Minister Kinder, Familie,FlüchtlingeundIntegrationunddemMinisterfürBundesundEuropaangelegenheiten sowie Internationales"
2026-05-05T12:16:13+00:00 | 17/7601 | ministerium_form | scraped="Minister Kinder, Familie,FlüchtlingeundIntegrationunddemMinisterfürBundesundEuropaangelegenheiten sowie Internationales"
2026-05-05T12:16:13+00:00 | 17/7671 | ministerium_form | scraped="Ministerin Umwelt, Landwirtschaft, Natur- und Verbraucher"
2026-05-05T12:16:13+00:00 | 17/7679 | ministerium_form | scraped="Ministerin Heimat, Kommunales, Bauund Gleichstellung"
2026-05-05T12:16:13+00:00 | 17/8125 | ministerium_form | scraped="Ministerin Unmwelt, Landwirtschaft, Natur- und Verbraucherschutz"
2026-05-05T12:16:13+00:00 | 17/8382 | ministerium_form | scraped="Minister Innern die Kleine Anfrage 3268"
2026-05-05T12:16:13+00:00 | 17/8471 | ministerium_form | scraped="Minister Justiz Peter Biesenbach sei laut Pressemitteilung vom 7. Februar 2019 stolz auf die Bilanz und kündigte an, dass man die betroffenen Stadtteile intensiv im Blick"
2026-05-05T12:16:13+00:00 | 17/8963 | ministerium_form | scraped="Ministerin Heimat, Kommunales, Baue und Gleichstellung"
2026-05-05T12:16:13+00:00 | 17/9409 | ministerium_form | scraped="Minister Inneren erklärte hierzu laut Presseberichten1: „Die Strafen tun weh, und das müssen sie auch.” In seiner Bilanz für das Osterwochenende berichtete der Minister von 1.800 Ordnungswidrigkeiten und 68 Strafanzeigen zwischen Karfreitag und Ostermontag. 5.100 Personen, darunter 1.200 Jugendliche und 300 Kinder seien beteiligt gewesen.2 Der Minister für Arbeit, Gesundheit und Soziales"
2026-05-05T12:16:13+00:00 | 17/9638 | ministerium_form | scraped="Ministerium Kinder, Familie, Flüchtlinge und Integration verbreitete u.a. mehrsprachige Informationen zum Infektionsschutz und über die im Zusammenhang damit ergangenen Rechtsverordnungen. • Das Ministerium für Wirtschaft, Innovation, Digitalisierung und Energie informierte u.a. über die Soforthilfemaßnahmen für Unternehmen. • Das Ministerium der Finanzen unterrichtete u.a. über die Corona bedingten Sonderhaushalte und mögliche Steuererleichterungen für betroffene Unternehmen. • Die Staatskanzlei verbreitete u.a. ein Video des Ministerpräsidenten, in dem er die weiterhin geöffneten Grenzen zu Belgien und den Niederlanden bewarb. Datum des Originals: 25.05.2020/Ausgegeben: 10.06.2020 LANDTAG NORDRHEIN-WESTFALEN - 17. Wahlperiode Drucksache 17/9638 Der Ministerpräsident"
2026-05-05T12:16:14+00:00 | 17/10096 | ministerium_form | scraped="Ministerium Forstwirtschaft und Natur Luxemburgs ist ein besonders schönes Beispiel dafür, dass der Staat über die eigene Nachfrage enorme Möglichkeiten"
2026-05-05T12:16:14+00:00 | 17/10192 | ministerium_form | scraped="Ministerin Heimat, Kommunales Bauen und Wohnen"
2026-05-05T12:16:14+00:00 | 17/10554 | ministerium_form | scraped="Ministerium Heimat, Kommunales, Bauen und Gleichstellung"
2026-05-05T12:16:14+00:00 | 17/10674 | ministerium_form | scraped="Minister Kinder, Familien, Flüchtlinge und Integration"
2026-05-05T12:16:14+00:00 | 17/11183 | ministerium_form | scraped="Ministerin Umwelt, Landwirtschat, Natur- und Verbraucherschutz"
2026-05-05T12:16:14+00:00 | 17/13520 | ministerium_form | scraped="Ministerin hat die Kleine Anfrage 5241 mit Schreiben vom 26. April 2021"
2026-05-05T12:16:14+00:00 | 17/13950 | ministerium_form | scraped="Minister Wirtschaft, Innovation, 4 Siehe 17/7522 5 Ebd. 2 LANDTAG NORDRHEIN-WESTFALEN - 17. Wahlperiode Drucksache 17/13950 Digitalisierung und Energie"
2026-05-05T12:16:14+00:00 | 17/14114 | ministerium_form | scraped="Ministerin Umwelt, Landwirtschaft, Natur- und Verbraucherschutzwie"
2026-05-05T12:16:14+00:00 | 17/14127 | ministerium_form | scraped="Ministerium Schule und Bildung verweist diesbezüglich weitergehend auf Informationen auf der Seite https://www.schulsportnrw.de/home.html, die auf die an die Schulen verschickten geltenden Leitlinien durch Schulmail vom 11.02.2021 aufbauen. Diese Seite wurde seit mehr als zwei Monaten jedoch nicht mehr aktualisiert.2 Die Ministerin für Schule und Bildung"
2026-05-05T12:16:14+00:00 | 17/14274 | ministerium_form | scraped="Ministerium Schule und Bildung formuliert im neuen Erlass „Gemeinsames Lernen in der Grundschule“ unter 3.2.2: „Der Einsatz von Lehrkräften für sonderpädagogische Förderung an der Schule und die pädagogische Kontinuität sind gewährleistet.“2 Die Ministerin für Schule und Bildung"
2026-05-05T12:16:14+00:00 | 17/14424 | ministerium_form | scraped="Ministerin Umwelt, Landwirtschaft, Natur- und Vebraucherschutz"
2026-05-05T12:16:14+00:00 | 17/14482 | ministerium_form | scraped="Minister Bundes- und Europaangelegenheiten sowie Internationales die Kleine Anfrage 5515 mit Schreiben vom 9. Juli 2021"
2026-05-05T12:16:14+00:00 | 17/14483 | ministerium_form | scraped="Minister Bundes- und Europaangelegenheiten sowie Internationales die Kleine Anfrage 5559 mit Schreiben vom 9. Juli 2021"
2026-05-05T12:16:14+00:00 | 17/14498 | ministerium_form | scraped="Minister Bundes- und Europaangelegenheiten sowie Internationales die Kleine Anfrage 5569 mit Schreiben vom 12. Juli 2021"
2026-05-05T12:16:14+00:00 | 17/14630 | ministerium_form | scraped="Ministerin Umwelt, Landwirtwirtschaft, Natur- und Verbraucherschutz"
2026-05-05T12:16:14+00:00 | 17/14800 | ministerium_form | scraped="Minister Kinder, Familie, Flüchtlinge und Integration die Kleine Anfrage 5649 mit Schreiben vom 6. August 2021"
2026-05-05T12:16:14+00:00 | 17/14802 | ministerium_form | scraped="Minister Kinder, Familie, Flüchtlinge und Integration die Kleine Anfrage 5637 mit Schreiben vom 6. August 2021"
